b'type',b'category',b'subcategory',b'sizing',b'month_name',b'month_number',b'year_',b'tactical',b'barrel_length',b'trigger_action',b'quantity',b'amount'
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2023,N,28,OTHER,1662,1118485.61
Firearms,Shotgun,Semiautomatic,20 GA,Jan,1,2023,N,28,OTHER,855,591321.35
Firearms,Shotgun,Pump Action,20 GA,Mar,3,2023,N,26,OTHER,976,282978.69
Firearms,Shotgun,Side By Side,20 GA,Aug,8,2023,N,26,OTHER,55,17930.89
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2023,Y,18,OTHER,2813,1042159.4
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2023,N,28,OTHER,2555,1629132.62
Firearms,Shotgun,Semiautomatic,12 GA,Oct,10,2023,N,26,OTHER,724,658903.67
Firearms,Shotgun,Single Shot,28 GA,Jun,6,2023,N,28,OTHER,10,1072.37
Firearms,Shotgun,Over/Under,12 GA,Apr,4,2023,N,30,OTHER,382,490112.17
Firearms,Shotgun,Over/Under,20 GA,Nov,11,2023,N,28,OTHER,818,668583.48
Firearms,Shotgun,Semiautomatic,12 GA,Sep,9,2023,N,28,OTHER,4008,2962617.72
Firearms,Shotgun,Semiautomatic,12 GA,Jul,7,2023,Y,,OTHER,723,441133.35
Firearms,Shotgun,Pump Action,12 GA,Mar,3,2023,N,32,OTHER,21,9387.98
Firearms,Shotgun,Over/Under,20 GA,Jun,6,2023,N,26,OTHER,165,92241.38
Firearms,Shotgun,Single Shot,12 GA,Dec,12,2023,N,,OTHER,485,98256.88
Firearms,Shotgun,Bolt Action,20 GA,Aug,8,2023,N,22,OTHER,120,81617.53
Firearms,Shotgun,Semiautomatic,12 GA,Sep,9,2023,Y,28,OTHER,299,174836.76
Firearms,Shotgun,Pump Action,12 GA,Oct,10,2023,Y,14.4,OTHER,817,335912.92
Firearms,Shotgun,Pump Action,12 GA,May,5,2023,Y,,OTHER,2725,1538282.62
Firearms,Shotgun,Pump Action,12 GA,Aug,8,2023,Y,18,OTHER,2952,896667.72
Firearms,Shotgun,Over/Under,12 GA,Jan,1,2023,N,32,OTHER,241,449417.06
Firearms,Shotgun,Semiautomatic,12 GA,Apr,4,2023,N,28,OTHER,2073,1471092.06
Firearms,Shotgun,Pump Action,12 GA,Dec,12,2023,N,24,OTHER,565,207656.2
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2023,Y,,OTHER,2757,1526969.96
Firearms,Shotgun,Semiautomatic,12 GA,Feb,2,2023,Y,,OTHER,670,345092.8
Firearms,Shotgun,Pump Action,12 GA,Aug,8,2023,N,18,OTHER,232,60768.66
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2023,N,18,OTHER,122,67388.17
Firearms,Shotgun,Pump Action,20 GA,Nov,11,2023,N,22,OTHER,1156,292487.77
Firearms,Shotgun,Over/Under,12 GA,Dec,12,2023,N,,OTHER,315,364294.98
Firearms,Shotgun,Bolt Action,20 GA,Nov,11,2023,N,,OTHER,434,247038.92
Firearms,Shotgun,Pump Action,12 GA,Jan,1,2023,Y,,OTHER,2470,1245860.64
Firearms,Shotgun,Semiautomatic,12 GA,Dec,12,2023,N,28,OTHER,3720,2950603.93
Firearms,Shotgun,Lever Action,410 GA,May,5,2023,N,20,OTHER,250,162672.06
Firearms,Shotgun,Pump Action,20 GA,Feb,2,2023,N,26,OTHER,630,191367.17
Firearms,Shotgun,Over/Under,12 GA,Dec,12,2023,N,28,OTHER,1032,824147.8
Firearms,Shotgun,Over/Under,28 GA,Mar,3,2023,N,28,OTHER,164,178785.77
Firearms,Shotgun,Pump Action,12 GA,Jul,7,2023,N,23,OTHER,6,2682.17
Firearms,Shotgun,Pump Action,12 GA,Feb,2,2023,N,24,OTHER,1019,348319.68
Firearms,Shotgun,Pump Action,410 GA,May,5,2023,Y,14.3,OTHER,228,88004.18
Firearms,Shotgun,Semiautomatic,12 GA,Dec,12,2023,Y,,OTHER,2302,889704.3
Firearms,Shotgun,Pump Action,12 GA,Mar,3,2023,Y,14,OTHER,419,124691.75
Firearms,Shotgun,Pump Action,12 GA,Oct,10,2023,N,26,OTHER,685,267687.83
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2023,Y,,OTHER,681,419850.89
Firearms,Shotgun,Single Shot,410 GA,Dec,12,2023,N,26,OTHER,901,160642.34
Firearms,Shotgun,Single Shot,12 GA,Jun,6,2023,N,28,OTHER,61,8087.49
Firearms,Shotgun,Semiautomatic,12 GA,Feb,2,2023,N,24,OTHER,452,259116.22
Firearms,Shotgun,Pump Action,20 GA,Apr,4,2023,N,22,OTHER,548,153898.33
Firearms,Shotgun,Pump Action,12 GA,Oct,10,2023,Y,,OTHER,3251,1848691.65
Firearms,Shotgun,Semiautomatic,12 GA,Sep,9,2023,Y,18.5,OTHER,2183,785630.4
Firearms,Shotgun,Pump Action,12 GA,Sep,9,2023,N,28,OTHER,2137,712904.52
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2023,Y,,OTHER,798,386127.98
Firearms,Shotgun,Single Shot,12 GA,Sep,9,2023,N,,OTHER,264,75972.11
Firearms,Shotgun,Semiautomatic,12 GA,Jul,7,2023,N,26,OTHER,312,243601.02
Firearms,Shotgun,Semiautomatic,20 GA,May,5,2023,N,28,OTHER,476,305243.81
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2023,Y,18.5,OTHER,1486,733408.12
Firearms,Shotgun,Pump Action,12 GA,Sep,9,2023,N,,OTHER,491,113322.49
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2023,Y,18,OTHER,2013,686573.48
Firearms,Shotgun,Semiautomatic,20 GA,Apr,4,2023,N,28,OTHER,562,376441.25
Firearms,Shotgun,Over/Under,410 GA,Jun,6,2023,N,32,OTHER,6,16110.66
Firearms,Shotgun,Over/Under,12 GA,Apr,4,2023,N,,OTHER,321,248270.81
Firearms,Shotgun,Pump Action,12 GA,Jun,6,2023,N,28,OTHER,1267,386619.94
Firearms,Shotgun,Pump Action,20 GA,Oct,10,2023,N,24,OTHER,324,124870.63
Firearms,Shotgun,Semiautomatic,20 GA,Sep,9,2023,N,,OTHER,167,140757.97
Firearms,Shotgun,Semiautomatic,12 GA,Apr,4,2023,Y,,OTHER,840,671940.59
Firearms,Shotgun,Semiautomatic,16 GA,Dec,12,2023,N,26,OTHER,25,39387.58
Firearms,Shotgun,Single Shot,410 GA,Apr,4,2023,N,24,OTHER,64,8488.09
Firearms,Shotgun,Pump Action,20 GA,Nov,11,2023,Y,,OTHER,129,42611.02
Firearms,Shotgun,Over/Under,20 GA,Mar,3,2023,N,28,OTHER,429,373310.38
